"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M47910","MICROTUBULE_DEPOLYMERIZATION",21,-0.769504369744492,-2.08678439901395,1.18087113747927e-05,0.00141704536497512,0.00107728594998109,702,"tags=29%, list=4%, signal=27%","TUBA1B/MAPRE3/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47768","PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY",15,-0.833583792167545,-2.04153245491505,5.99258871628445e-06,0.00141704536497512,0.00107728594998109,702,"tags=33%, list=4%, signal=32%","TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47753","VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT",16,-0.814934899409541,-2.03005571235322,8.29479415202446e-06,0.00141704536497512,0.00107728594998109,702,"tags=31%, list=4%, signal=30%","TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47911","MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS",18,-0.788464446734542,-2.04323966457816,2.03640376191255e-05,0.0018327633857213,0.00139332888972964,702,"tags=28%, list=4%, signal=27%","TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47890","KINETOCHORE_MICROTUBULE_ATTACHMENT",18,-0.779638497083167,-2.02036795428108,3.42593870013561e-05,0.00205556322008136,0.00156270888076361,1167,"tags=33%, list=7%, signal=31%","CENPF/TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47813","ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",17,-0.791417080436872,-2.00073398804509,2.97162663232952e-05,0.00205556322008136,0.00156270888076361,1526,"tags=35%, list=9%, signal=32%","MAPT/TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47717","PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",26,0.737449320402362,1.98884904560405,5.09399674364218e-05,0.00229229853463898,0.00174268309650917,2164,"tags=65%, list=13%, signal=57%","CYTH3/WASF3/ARPC5/ACTR3/PIK3CD/ACTG1/WASF1/PIK3CA/ARPC4/ARF1/ARF6/ACTB/ACTR2/ARPC3/NCKAP1/WASF2/PIK3CB"
"M47818","ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",17,-0.779289492325091,-1.97007496093026,5.00244219567323e-05,0.00229229853463898,0.00174268309650917,1526,"tags=35%, list=9%, signal=32%","MAPT/TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47738","PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",27,0.722950468093158,1.97009914729256,0.00013075970044797,0.00523038801791881,0.00397631837619559,2164,"tags=63%, list=13%, signal=55%","CYTH3/WASF3/ARPC5/ACTR3/PIK3CD/ACTG1/WASF1/PIK3CA/ARPC4/ARF1/ARF6/ACTB/ACTR2/ARPC3/NCKAP1/WASF2/PIK3CB"
"M47901","BRANCHING_MICROTUBULE_NUCLEATION",30,-0.644922797631955,-1.87946488824879,0.000193463234532174,0.00696467644315826,0.00529478326088055,912,"tags=23%, list=5%, signal=22%","HAUS5/TUBA1B/TPX2/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47716","ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",23,0.724314795802671,1.90377193957474,0.000284203839730879,0.00930121657301059,0.00707110031866302,2025,"tags=61%, list=12%, signal=54%","CYTH3/WASF3/ARPC5/ACTR3/ACTG1/WASF1/ARPC4/ARF1/ARF6/ACTB/ACTR2/ARPC3/NCKAP1/WASF2"
"M47900","KINETOCHORE_FIBER_ORGANIZATION",21,-0.698922249105775,-1.89537591065527,0.000481042071517552,0.0117657297331209,0.0089447068146533,702,"tags=24%, list=4%, signal=23%","TUBA1B/TUBA1C/TUBB/TUBA1A/TUBA4A"
"M47898","MICROTUBULE_NUCLEATION",25,-0.674657699936333,-1.89339744644189,0.000490238738880037,0.0117657297331209,0.0089447068146533,702,"tags=28%, list=4%, signal=27%","CDK5RAP2/TUBA1B/TPX2/TUBA1C/TUBB/TUBA1A/TUBA4A"
